Calculation of Solvency Capital Requirement,
Total undiversified components,14 921 938
Diversification,-2 038 052
Capital requirement for business operated in accordance with Art. 4 of Directive 2003/41/EC,0
Solvency capital requirement excluding capital add-on,12 883 886
Capital add-ons already set,0
Solvency capital requirement,12 883 886
Other information on SCR,
Amount/estimate of the overall loss-absorbing capacity of technical provisions,0
Amount/estimate of the overall loss-absorbing capacity ot deferred taxes,0
Capital requirement for duration-based equity risk sub-module,
Total amount of Notional Solvency Capital Requirements for remaining part,0
Total amount of Notional Solvency Capital Requirements for ring fenced funds (other than those related to business operated in,
accordance with Art. 4 of Directive 2003/41/EC (transitional)),0
Total amount of Notional Solvency Capital Requirement for matching adjustment portfolios,0
Diversification effects due to RFF nSCR aggregation for article 304,0
